SJ0405MXDHTHWPR,,,,,,,,,,,
CRSMW,,,,,,,,,,,
10,0,12.5,,,,,,,,,
1,2023,5,200,2.7,82.75,3,0,0,,,
1,2023,5,300,2.425,82.25,3.575,0,0,,,
1,2023,5,400,2.225,82.5,2.575,0,0,,,
1,2023,5,500,2.2,80.25,2.125,0,0,,,
1,2023,5,600,2.175,77.75,2.3,0,0,,,
1,2023,5,700,1.975,79.5,2.6,0,0,,,
1,2023,5,800,1.975,79.25,2.975,0,0,,,
1,2023,5,900,3.1,74.25,3.325,0,73,,,
1,2023,5,1000,3.975,71.25,4.025,0,197,,,
1,2023,5,1100,5.6,65.75,4.9,0,383,,,
1,2023,5,1200,6.825,59.75,5.15,0,444,,,
1,2023,5,1300,7.1,57,5.2,0,363,,,
1,2023,5,1400,7.725,52.5,5.675,0,235,,,
1,2023,5,1500,6.975,57,4.425,0,158,,,
1,2023,5,1600,6.4,60,4.225,0,64,,,
1,2023,5,1700,6.2,63,3.65,0,9,,,
1,2023,5,1800,4.7,71,5.25,0,0,,,
1,2023,5,1900,3.425,77.5,4.475,0,0,,,
1,2023,5,2000,2.95,78.75,4.025,0,0,,,
1,2023,5,2100,1.975,85.75,3.875,0,0,,,
1,2023,5,2200,1.275,89.75,3.475,0,0,,,
1,2023,5,2300,0.725,91.5,3.075,0,0,,,
1,2023,5,2400,0.725,90.75,2.825,0,0,,,
1,2023,6,100,0.425,93,2.775,0,0,,,
1,2023,6,200,0,90.5,3.9,0,0,,,
1,2023,6,300,0,86.75,4.15,0,0,,,
1,2023,6,400,-0.1,86.5,3.625,0,0,,,
1,2023,6,500,-0.2,88.5,3.625,0,0,,,
1,2023,6,600,-0.225,90.25,3.425,0,0,,,
1,2023,6,700,-0.275,91.5,3.325,0,0,,,
1,2023,6,800,-0.2,92.5,3.225,0,0,,,
1,2023,6,900,-0.05,93.75,3,0,118,,,
1,2023,6,1000,0.225,92.5,3.525,0,41,,,
1,2023,6,1100,0.625,90.25,3.55,0,61,,,
1,2023,6,1200,1.175,87,3.275,0,122,,,
1,2023,6,1300,2.025,83,3.35,0,104,,,
1,2023,6,1400,2.3,80.5,2.825,0,108,,,
1,2023,6,1500,2.15,79.5,3.35,0,89,,,
1,2023,6,1600,1.7,82.5,3.675,0,13,,,
1,2023,6,1700,1.275,83.75,3.45,0,5,,,
1,2023,6,1800,1.025,84.5,2.275,0,0,,,
1,2023,6,1900,1.075,83.75,3,0,0,,,
1,2023,6,2000,0.45,89.25,2.9,0,0,,,
1,2023,6,2100,0,89.25,3.1,0,0,,,
1,2023,6,2200,-0.1,83.75,3.075,0,0,,,
1,2023,6,2300,-0.275,84.25,2.95,0,0,,,
1,2023,6,2400,-0.575,85.25,3,0,0,,,
1,2023,7,100,-0.775,83,2.95,0,0,,,
1,2023,7,200,-1,84.75,3.15,0,0,,,
1,2023,7,300,-1.3,84.5,2.75,0,0,,,
1,2023,7,400,-1.45,82.75,2.25,0,0,,,
1,2023,7,500,-1.4,81.25,2.05,0,0,,,
1,2023,7,600,-1.4,82.75,2.05,0,0,,,
1,2023,7,700,-1.5,84.75,1.975,0,0,,,
1,2023,7,800,-1.375,85.25,1.775,0,0,,,
1,2023,7,900,-1.05,83.25,2.45,0,13,,,
1,2023,7,1000,-0.9,84.5,2.6,0,40,,,
1,2023,7,1100,-0.275,84.5,2.7,0,77,,,
1,2023,7,1200,0.275,84.75,2.6,0,136,,,
1,2023,7,1300,0.85,82.25,2.4,0,159,,,
1,2023,7,1400,1.1,77.75,1.825,0,69,,,
1,2023,7,1500,0.9,74,1.875,0,21,,,
1,2023,7,1600,0.725,77.25,2.05,0,10,,,
1,2023,7,1700,0.125,84.25,2.125,0,27,,,
1,2023,7,1800,-0.45,91,2.1,0,0,,,
1,2023,7,1900,-0.675,91.75,1.4,0,0,,,
1,2023,7,2000,-0.8,91,1.125,0,0,,,
1,2023,7,2100,-0.825,91,0.95,0,0,,,
1,2023,7,2200,-0.825,90.5,0.875,0,0,,,
1,2023,7,2300,-0.8,89.25,0.275,0,0,,,
1,2023,7,2400,-0.8,87.75,0.8,0,0,,,
1,2023,8,100,-0.75,82.75,0.75,0,0,,,
1,2023,8,200,-0.65,76.25,1.3,0,0,,,
1,2023,8,300,-0.625,78.75,1.075,0,0,,,
1,2023,8,400,-0.725,80.25,1.05,0,0,,,
1,2023,8,500,-0.8,79.75,1.225,0,0,,,
1,2023,8,600,-0.825,77.5,1.25,0,0,,,
1,2023,8,700,-0.925,77.75,1.175,0,0,,,
1,2023,8,800,-1,78.5,1.4,0,0,,,
1,2023,8,900,-0.775,77.25,1.6,0,70,,,
1,2023,8,1000,0,74,2.1,0,173,,,
1,2023,8,1100,0.45,73,1.8,0,220,,,
1,2023,8,1200,1.375,69.25,1.25,0,185,,,
1,2023,8,1300,1.425,70.75,2.25,0,194,,,
1,2023,8,1400,0.725,74.25,3.075,0,308,,,
1,2023,8,1500,0.05,75.75,3.225,0,103,,,
1,2023,8,1600,-0.7,77.25,2.8,0,39,,,
1,2023,8,1700,-1.25,78.75,2.275,0,8,,,
1,2023,8,1800,-1.525,80.5,1.6,0,0,,,
1,2023,8,1900,-1.875,81.25,0.975,0,0,,,
1,2023,8,2000,-2.375,84.75,0.75,0,0,,,
1,2023,8,2100,-2.875,89,0.75,0,0,,,
1,2023,8,2200,-3.125,91,0.65,0,0,,,
1,2023,8,2300,-2.075,86,1.3,0,0,,,
1,2023,8,2400,-1.55,82.5,1.95,0,0,,,
1,2023,9,100,-1.35,81.75,1.75,0,0,,,
1,2023,9,200,-1.025,79.25,2,0,0,,,
1,2023,9,300,-0.7,77,2.925,0,0,,,
1,2023,9,400,-0.85,78.5,3.55,0,0,,,
1,2023,9,500,-1.125,79.5,2.875,0,0,,,
1,2023,9,600,-1.275,79,3.2,0,0,,,
1,2023,9,700,-1.45,79.25,2.9,0,0,,,
1,2023,9,800,-1.8,81,3.05,0,0,,,
1,2023,9,900,-2,81,3.875,0,40,,,
1,2023,9,1000,-2,80.5,3.85,0,77,,,
1,2023,9,1100,-1.75,80.25,4.075,0,165,,,
1,2023,9,1200,-1.1,78.25,4.65,0,249,,,
1,2023,9,1300,-1,80,4.825,0,129,,,
1,2023,9,1400,-0.3,78.5,4.325,0,324,,,
1,2023,9,1500,0.575,74.5,4.925,0,313,,,
1,2023,9,1600,0.825,72.75,4.45,0,172,,,
1,2023,9,1700,0.15,76.5,3.75,0,29,,,
1,2023,9,1800,-0.15,79,3.575,0,0,,,
1,2023,9,1900,-0.225,80,3.275,0,0,,,
1,2023,9,2000,-0.15,79,3.65,0,0,,,
1,2023,9,2100,-0.1,77.5,3.2,0,0,,,
1,2023,9,2200,-0.075,76,2.95,0,0,,,
1,2023,9,2300,-0.225,76.25,2.625,0,0,,,
1,2023,9,2400,-0.45,76.75,2.525,0,0,,,
1,2023,10,100,-0.55,77,2.475,0,0,,,
1,2023,10,200,-0.675,77,2.35,0,0,,,
1,2023,10,300,-0.475,76.5,2.4,0,0,,,
1,2023,10,400,-0.05,74.75,2.1,0,0,,,
1,2023,10,500,0.025,75.25,1.75,0,0,,,
1,2023,10,600,-0.4,79.25,1.625,0,0,,,
1,2023,10,700,0.25,77.75,2.225,0,0,,,
1,2023,10,800,0.5,77.5,1.575,0,0,,,
1,2023,10,900,1.15,76,1.775,0,35,,,
1,2023,10,1000,2.05,75.25,2.225,0,89,,,
1,2023,10,1100,3.5,70.5,2.25,0,157,,,
1,2023,10,1200,5.15,65,2.325,0,340,,,
1,2023,10,1300,6.525,59.25,1.825,0,356,,,
1,2023,10,1400,6.325,60.25,1.525,0,132,,,
1,2023,10,1500,6.7,60.25,2.35,0,9,,,
1,2023,10,1600,6.05,63.5,1.975,0,53,,,
1,2023,10,1700,4.825,70.5,2,0,7,,,
1,2023,10,1800,3.85,73.75,1.625,0,0,,,
1,2023,10,1900,3.525,75.75,1.675,0,0,,,
1,2023,10,2000,3.3,75.5,1.575,0,0,,,
1,2023,10,2100,2.15,78.5,1.5,0,0,,,
1,2023,10,2200,1.725,80.5,1.4,0,0,,,
1,2023,10,2300,1.6,81,1.65,0,0,,,
1,2023,10,2400,1.1,81.75,1.475,0,0,,,
1,2023,11,100,0.55,84.25,1.45,0,0,,,
1,2023,11,200,0.45,85.25,1.7,0,0,,,
1,2023,11,300,0.375,85.75,1.725,0,0,,,
1,2023,11,400,0.15,87,1.5,0,0,,,
1,2023,11,500,-0.075,88.25,1.575,0,0,,,
1,2023,11,600,0.1,88.5,1.8,0,0,,,
1,2023,11,700,0.725,86.25,2.15,0,0,,,
1,2023,11,800,0.95,86.75,1.7,0,0,,,
1,2023,11,900,1.975,83.25,1.875,0,41,,,
1,2023,11,1000,3.2,78.5,1.975,0,15,,,
1,2023,11,1100,5.325,72.25,2.95,0,265,,,
1,2023,11,1200,6.375,71.25,2.9,0,143,,,
